rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
100, 50.0006, 20.0, 200.001, 79.9999, 500.0, 3400.0, 0.999999, 100.0
99, 49.9007, 20.0188, 199.874, 80.403, 494.855, 3402.55, 1.01524, 99.4517
98, 49.7956, 20.0369, 199.752, 80.8167, 489.741, 3404.99, 1.03057, 98.8972
97, 49.6815, 20.0542, 199.636, 81.2421, 484.665, 3407.31, 1.04596, 98.3353
96, 49.5549, 20.0706, 199.526, 81.6805, 479.633, 3409.51, 1.06136, 97.7648
95, 49.4126, 20.0861, 199.422, 82.1332, 474.652, 3411.57, 1.07672, 97.1842
94, 49.2512, 20.1004, 199.326, 82.6016, 469.727, 3413.49, 1.09199, 96.5923
93, 49.068, 20.1136, 199.238, 83.0872, 464.864, 3415.23, 1.10713, 95.9878
92, 48.8605, 20.1255, 199.159, 83.5916, 460.068, 3416.8, 1.12208, 95.3696
91, 48.6266, 20.1359, 199.089, 84.1162, 455.343, 3418.18, 1.13679, 94.7365
90, 48.3645, 20.1449, 199.03, 84.6627, 450.692, 3419.36, 1.15122, 94.0877
89, 48.0732, 20.1522, 198.981, 85.2328, 446.118, 3420.32, 1.16533, 93.4223
88, 47.7518, 20.1577, 198.945, 85.8281, 441.625, 3421.05, 1.17907, 92.7395
87, 47.4, 20.1614, 198.92, 86.4503, 437.212, 3421.53, 1.1924, 92.0388
86, 47.0179, 20.1631, 198.909, 87.101, 432.881, 3421.75, 1.20529, 91.3197
85, 46.6061, 20.1627, 198.911, 87.7821, 428.633, 3421.71, 1.21771, 90.582
84, 46.1654, 20.1601, 198.928, 88.495, 424.467, 3421.37, 1.22962, 89.8254
83, 45.6968, 20.1553, 198.961, 89.2416, 420.381, 3420.73, 1.24101, 89.0499
82, 45.2019, 20.1481, 199.009, 90.0235, 416.376, 3419.78, 1.25184, 88.2556
81, 44.682, 20.1384, 199.073, 90.8423, 412.45, 3418.5, 1.26211, 87.4427
80, 44.139, 20.1261, 199.155, 91.6997, 408.6, 3416.89, 1.2718, 86.6116
