rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
100, 8500.01, 9.99998, 30.0002, 69.9999, 150.0, 419.998, 0.481331, 200.0
99, 8441.11, 10.042, 30.3212, 70.198, 149.972, 427.373, 0.481289, 199.869
98, 8382.07, 10.0849, 30.6578, 70.3993, 149.943, 435.082, 0.481247, 199.737
97, 8322.92, 10.1286, 31.0111, 70.6041, 149.914, 443.149, 0.481205, 199.604
96, 8263.65, 10.1732, 31.3823, 70.8123, 149.884, 451.597, 0.481162, 199.469
95, 8204.27, 10.2188, 31.7726, 71.0243, 149.855, 460.454, 0.481118, 199.334
94, 8144.77, 10.2653, 32.1833, 71.2402, 149.825, 469.748, 0.481074, 199.198
93, 8085.17, 10.3128, 32.6158, 71.46, 149.795, 479.509, 0.481029, 199.061
92, 8025.47, 10.3613, 33.0718, 71.684, 149.765, 489.773, 0.480983, 198.923
91, 7965.66, 10.411, 33.5527, 71.9122, 149.735, 500.573, 0.480937, 198.783
90, 7905.74, 10.4618, 34.0606, 72.145, 149.704, 511.95, 0.48089, 198.643
89, 7845.73, 10.5138, 34.5973, 72.3823, 149.673, 523.944, 0.480843, 198.501
88, 7785.61, 10.5669, 35.1648, 72.6244, 149.642, 536.602, 0.480795, 198.358
87, 7725.38, 10.6214, 35.7655, 72.8714, 149.61, 549.97, 0.480746, 198.215
86, 7665.05, 10.6772, 36.4018, 73.1234, 149.579, 564.101, 0.480696, 198.069
85, 7604.59, 10.7343, 37.0761, 73.3806, 149.547, 579.049, 0.480646, 197.923
84, 7544.02, 10.7928, 37.7913, 73.6431, 149.514, 594.872, 0.480595, 197.776
83, 7483.3, 10.8528, 38.5502, 73.9109, 149.482, 611.632, 0.480544, 197.627
82, 7422.44, 10.9141, 39.3559, 74.1842, 149.449, 629.394, 0.480491, 197.477
81, 7361.42, 10.977, 40.2115, 74.4629, 149.416, 648.225, 0.480438, 197.325
80, 7300.22, 11.0414, 41.1206, 74.7471, 149.382, 668.196, 0.480384, 197.172
79, 7238.81, 11.1073, 42.0864, 75.0368, 149.348, 689.379, 0.480329, 197.017
78, 7177.18, 11.1747, 43.1127, 75.3319, 149.314, 711.849, 0.480273, 196.861
77, 7115.29, 11.2436, 44.203, 75.6323, 149.279, 735.679, 0.480216, 196.702
76, 7053.12, 11.314, 45.361, 75.938, 149.244, 760.945, 0.480158, 196.542
75, 6990.62, 11.3859, 46.5904, 76.2486, 149.208, 787.721, 0.480099, 196.38
74, 6927.76, 11.4592, 47.8949, 76.564, 149.172, 816.078, 0.480039, 196.216
73, 6864.49, 11.5339, 49.2779, 76.884, 149.136, 846.083, 0.479978, 196.049
72, 6800.78, 11.61, 50.7429, 77.2081, 149.099, 877.801, 0.479915, 195.88
71, 6736.58, 11.6873, 52.293, 77.5361, 149.061, 911.289, 0.479851, 195.709
70, 6671.83, 11.7658, 53.9311, 77.8676, 149.022, 946.596, 0.479786, 195.534
69, 6606.49, 11.8453, 55.66, 78.2021, 148.983, 983.766, 0.479719, 195.356
68, 6540.52, 11.9259, 57.4819, 78.5392, 148.943, 1022.83, 0.47965, 195.176
67, 6473.87, 12.0074, 59.3988, 78.8785, 148.903, 1063.82, 0.479579, 194.991
66, 6406.49, 12.0897, 61.4123, 79.2195, 148.861, 1106.74, 0.479507, 194.803
65, 6338.33, 12.1727, 63.5236, 79.5618, 148.819, 1151.6, 0.479433, 194.611
64, 6269.37, 12.2563, 65.7336, 79.905, 148.776, 1198.4, 0.479357, 194.415
63, 6199.57, 12.3404, 68.0426, 80.2487, 148.732, 1247.12, 0.479278, 194.215
62, 6128.89, 12.425, 70.451, 80.5925, 148.687, 1297.74, 0.479197, 194.011
61, 6057.32, 12.5099, 72.9583, 80.9362, 148.64, 1350.23, 0.479114, 193.801
60, 5984.82, 12.5951, 75.5643, 81.2794, 148.593, 1404.55, 0.479028, 193.587
59, 5911.38, 12.6805, 78.2682, 81.6219, 148.544, 1460.68, 0.47894, 193.368
58, 5837.0, 12.7661, 81.069, 81.9636, 148.495, 1518.55, 0.478849, 193.143
57, 5761.65, 12.8519, 83.9654, 82.3044, 148.444, 1578.13, 0.478755, 192.913
56, 5685.33, 12.9377, 86.9562, 82.644, 148.392, 1639.36, 0.478658, 192.678
55, 5608.05, 13.0237, 90.0397, 82.9825, 148.338, 1702.19, 0.478558, 192.436
54, 5529.79, 13.1097, 93.2144, 83.3199, 148.283, 1766.57, 0.478455, 192.189
53, 5450.57, 13.1959, 96.4783, 83.6563, 148.227, 1832.45, 0.478348, 191.935
52, 5370.4, 13.2821, 99.8293, 83.9917, 148.169, 1899.77, 0.478238, 191.675
51, 5289.26, 13.3685, 103.265, 84.3261, 148.11, 1968.49, 0.478124, 191.409
50, 5207.19, 13.4551, 106.784, 84.6599, 148.049, 2038.55, 0.478006, 191.135
49, 5124.18, 13.5419, 110.383, 84.9931, 147.986, 2109.92, 0.477885, 190.855
48, 5040.24, 13.629, 114.06, 85.326, 147.922, 2182.54, 0.477759, 190.567
47, 4955.39, 13.7163, 117.811, 85.6588, 147.856, 2256.38, 0.477629, 190.272
46, 4869.63, 13.8041, 121.633, 85.9917, 147.789, 2331.39, 0.477495, 189.97
45, 4782.99, 13.8924, 125.524, 86.325, 147.719, 2407.53, 0.477355, 189.659
44, 4695.45, 13.9812, 129.478, 86.6592, 147.648, 2484.78, 0.477211, 189.34
43, 4607.05, 14.0706, 133.491, 86.9944, 147.574, 2563.09, 0.477062, 189.012
42, 4517.79, 14.1608, 137.56, 87.331, 147.498, 2642.45, 0.476908, 188.676
41, 4427.67, 14.2519, 141.679, 87.6696, 147.421, 2722.81, 0.476747, 188.33
40, 4336.72, 14.3439, 145.841, 88.0104, 147.341, 2804.16, 0.476581, 187.974
39, 4244.93, 14.4371, 150.041, 88.3539, 147.258, 2886.48, 0.476409, 187.608
38, 4152.31, 14.5314, 154.272, 88.7006, 147.173, 2969.74, 0.47623, 187.232
37, 4058.87, 14.6272, 158.526, 89.0511, 147.085, 3053.93, 0.476044, 186.844
36, 3964.62, 14.7246, 162.793, 89.4059, 146.995, 3139.03, 0.475851, 186.445
35, 3869.56, 14.8237, 167.064, 89.7657, 146.901, 3225.03, 0.47565, 186.034
34, 3773.69, 14.9248, 171.328, 90.131, 146.805, 3311.93, 0.475441, 185.609
33, 3677.03, 15.028, 175.574, 90.5027, 146.705, 3399.71, 0.475223, 185.171
32, 3579.56, 15.1337, 179.787, 90.8815, 146.602, 3488.36, 0.474996, 184.719
31, 3481.3, 15.2421, 183.954, 91.2684, 146.495, 3577.9, 0.474759, 184.251
30, 3382.24, 15.3535, 188.056, 91.6644, 146.384, 3668.31, 0.474512, 183.767
29, 3282.39, 15.4683, 192.077, 92.0705, 146.268, 3759.61, 0.474253, 183.265
28, 3181.73, 15.5869, 195.995, 92.4879, 146.148, 3851.79, 0.473981, 182.746
27, 3080.26, 15.7097, 199.788, 92.9181, 146.024, 3944.86, 0.473697, 182.206
