rmit_factor,MP,FC,F2,CIA,FS,F3,O2,FM
100, 3779.45, 14.8354, 1805.5, 89.2279, 203.509, 1597.21, 0.11443, 212.947
99, 3747.12, 14.8695, 1827.41, 89.3478, 203.454, 1606.14, 0.114411, 212.756
98, 3714.68, 14.9038, 1849.39, 89.4685, 203.398, 1615.09, 0.114391, 212.562
97, 3682.14, 14.9385, 1871.45, 89.5899, 203.342, 1624.09, 0.114371, 212.367
96, 3649.49, 14.9733, 1893.59, 89.712, 203.285, 1633.13, 0.114351, 212.17
95, 3616.74, 15.0085, 1915.79, 89.8349, 203.228, 1642.21, 0.114331, 211.971
94, 3583.87, 15.044, 1938.07, 89.9586, 203.17, 1651.33, 0.114311, 211.77
93, 3550.91, 15.0797, 1960.4, 90.0831, 203.111, 1660.5, 0.11429, 211.568
92, 3517.83, 15.1158, 1982.8, 90.2085, 203.052, 1669.72, 0.114269, 211.364
91, 3484.65, 15.1522, 2005.26, 90.3348, 202.993, 1678.99, 0.114247, 211.158
90, 3451.37, 15.1889, 2027.77, 90.462, 202.932, 1688.32, 0.114225, 210.95
89, 3417.97, 15.226, 2050.34, 90.5902, 202.871, 1697.7, 0.114203, 210.74
88, 3384.47, 15.2634, 2072.96, 90.7194, 202.81, 1707.14, 0.114181, 210.528
87, 3350.86, 15.3013, 2095.62, 90.8497, 202.747, 1716.64, 0.114159, 210.314
86, 3317.14, 15.3395, 2118.33, 90.9811, 202.684, 1726.21, 0.114136, 210.098
85, 3283.32, 15.3781, 2141.08, 91.1136, 202.621, 1735.85, 0.114112, 209.88
84, 3249.39, 15.4171, 2163.86, 91.2473, 202.556, 1745.56, 0.114089, 209.66
83, 3215.34, 15.4566, 2186.68, 91.3822, 202.491, 1755.35, 0.114065, 209.437
82, 3181.19, 15.4965, 2209.52, 91.5184, 202.425, 1765.21, 0.11404, 209.212
81, 3146.93, 15.5369, 2232.39, 91.656, 202.359, 1775.16, 0.114015, 208.985
80, 3112.57, 15.5778, 2255.29, 91.7949, 202.291, 1785.18, 0.11399, 208.755
79, 3078.09, 15.6191, 2278.2, 91.9353, 202.223, 1795.3, 0.113965, 208.523
78, 3043.5, 15.6611, 2301.12, 92.0772, 202.154, 1805.51, 0.113939, 208.288
77, 3008.8, 15.7035, 2324.05, 92.2206, 202.084, 1815.82, 0.113913, 208.051
76, 2973.99, 15.7466, 2346.99, 92.3657, 202.013, 1826.23, 0.113886, 207.811
75, 2939.06, 15.7902, 2369.93, 92.5125, 201.941, 1836.74, 0.113859, 207.568
74, 2904.03, 15.8344, 2392.86, 92.661, 201.868, 1847.36, 0.113831, 207.322
73, 2868.88, 15.8793, 2415.78, 92.8114, 201.795, 1858.1, 0.113803, 207.074
72, 2833.62, 15.9249, 2438.69, 92.9637, 201.72, 1868.96, 0.113774, 206.822
71, 2798.25, 15.9711, 2461.57, 93.1179, 201.644, 1879.94, 0.113745, 206.568
70, 2762.76, 16.0181, 2484.43, 93.2743, 201.567, 1891.05, 0.113715, 206.31
69, 2727.15, 16.0659, 2507.26, 93.4328, 201.49, 1902.29, 0.113685, 206.049
68, 2691.43, 16.1144, 2530.05, 93.5936, 201.411, 1913.68, 0.113654, 205.785
67, 2655.6, 16.1638, 2552.8, 93.7567, 201.33, 1925.21, 0.113623, 205.517
66, 2619.65, 16.214, 2575.49, 93.9223, 201.249, 1936.89, 0.113591, 205.246
